idCarpeta,Dia,Mes,Año,Fecha,Hora,Delito,CalidadJuridica,Categoria,Colonia,Alcalia,Sexo,Edad,TipoPersona,longitud,latitud
8324870.0,12.0,Diciembre,2018.0,26/12/2018,36000.0,DESPOJO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,ADOLFO LÓPEZ MATEOS,CUAJIMALPA DE MORELOS,Masculino,64.0,FISICA,-99.29426,19.36208
8324981.0,1.0,Enero,2019.0,01/01/2019,39600.0,DESPOJO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Femenino,63.0,FISICA,-99.27968,19.34529
8325080.0,1.0,Enero,2018.0,05/01/2018,9000.0,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,OFENDIDO,DELITO DE BAJO IMPACTO,CONTADERO,CUAJIMALPA DE MORELOS,Masculino,44.0,FISICA,-99.31106,19.33916
8325103.0,1.0,Enero,2019.0,05/01/2019,18000.0,ROBO DE ACCESORIOS DE AUTO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,TEPETONGO,CUAJIMALPA DE MORELOS,Masculino,40.0,FISICA,-99.29287,19.36936
8325265.0,12.0,Diciembre,2018.0,27/12/2018,36000.0,FRAUDE,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,Masculino,,FISICA,-99.27251,19.3795
8325349.0,1.0,Enero,2019.0,05/01/2019,51780.0,LESIONES CULPOSAS POR TRANSITO VEHICULAR,VICTIMA,DELITO DE BAJO IMPACTO,CUAJIMALPA,CUAJIMALPA DE MORELOS,Femenino,,FISICA,-99.30048,19.35389
8325354.0,12.0,Diciembre,2018.0,02/12/2018,50400.0,AMENAZAS,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Femenino,,FISICA,-99.28089,19.3386
8325354.0,12.0,Diciembre,2018.0,02/12/2018,50400.0,AMENAZAS,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Masculino,,FISICA,-99.28089,19.3386
8325469.0,9.0,Septiembre,2018.0,05/09/2018,66600.0,ROBO DE DINERO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,JARDINES DE LA PALMA,CUAJIMALPA DE MORELOS,Masculino,59.0,FISICA,-99.27899,19.37338
8326118.0,1.0,Enero,2018.0,04/01/2018,39600.0,"PRODUCCIÓN, IMPRESIÓN, ENAJENACIÓN, DISTRIBUCIÓN, ALTERACIÓN O FALSIFICACIÓN DE TÍTULOS AL PORTADOR, DOCUMENTOS DE CRÉDITO PÚBLICOS O VALES DE CANJE",OFENDIDO,DELITO DE BAJO IMPACTO,LOMAS DE SANTA FE,CUAJIMALPA DE MORELOS,Femenino,24.0,FISICA,-99.27119,19.36398
8326248.0,1.0,Enero,2019.0,05/01/2019,40500.0,ROBO A REPARTIDOR CON VIOLENCIA,VICTIMA Y DENUNCIANTE,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Masculino,40.0,FISICA,-99.28431,19.34666
8326513.0,1.0,Enero,2019.0,04/01/2019,52200.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,Femenino,27.0,FISICA,-99.28163,19.34245
8326655.0,11.0,Noviembre,2018.0,17/11/2018,43200.0,"PRODUCCIÓN, IMPRESIÓN, ENAJENACIÓN, DISTRIBUCIÓN, ALTERACIÓN O FALSIFICACIÓN DE TÍTULOS AL PORTADOR, DOCUMENTOS DE CRÉDITO PÚBLICOS O VALES DE CANJE",VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LOMAS DE SANTA FE,CUAJIMALPA DE MORELOS,Masculino,25.0,FISICA,-99.2683,19.36537
8326941.0,1.0,Enero,2019.0,03/01/2019,45000.0,DESPOJO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,CONTADERO,CUAJIMALPA DE MORELOS,Femenino,76.0,FISICA,-99.29574,19.34664
8327007.0,12.0,Diciembre,2018.0,17/12/2018,61200.0,LA ADMINISTRACION DE JUSTICIA,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,CUAJIMALPA,CUAJIMALPA DE MORELOS,Femenino,,FISICA,-99.30087,19.35616
8327215.0,12.0,Diciembre,2018.0,23/12/2018,28800.0,ROBO A NEGOCIO SIN VIOLENCIA,OFENDIDO,DELITO DE BAJO IMPACTO,PALO ALTO,CUAJIMALPA DE MORELOS,,,MORAL,-99.25217,19.38673
