idCarpeta,Dia,Mes,Año,Fecha,Hora,Delito,CalidadJuridica,Categoria,Colonia,Alcalia,Sexo,Edad,TipoPersona,longitud,latitud
8324813.0,12.0,Diciembre,2018.0,24/12/2018,43200.0,ROBO DE OBJETOS,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,HUAYATLA,LA MAGDALENA CONTRERAS,Masculino,52.0,FISICA,-99.26473,19.30641
8325289.0,1.0,Enero,2019.0,05/01/2019,3600.0,PRIVACION DE LA LIBERTAD PERSONAL,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,EL ERMITAÑO,LA MAGDALENA CONTRERAS,Femenino,25.0,FISICA,-99.26539,19.30227
8325721.0,1.0,Enero,2019.0,05/01/2019,70200.0,ROBO A CASA HABITACION SIN VIOLENCIA,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LOMAS DE SAN BERNABÉ,LA MAGDALENA CONTRERAS,Femenino,47.0,FISICA,-99.26304,19.31603
8325816.0,1.0,Enero,2019.0,06/01/2019,28800.0,ROBO A NEGOCIO CON VIOLENCIA,VICTIMA,ROBO A NEGOCIO CON VIOLENCIA,EL TANQUE,LA MAGDALENA CONTRERAS,,,MORAL,-99.24979,19.32666
8325823.0,1.0,Enero,2018.0,06/01/2018,9600.0,DAÑO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN BERNABÉ OCOTEPEC,LA MAGDALENA CONTRERAS,Femenino,30.0,FISICA,-99.25896,19.31334
8326076.0,1.0,Enero,2019.0,07/01/2019,0.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,AMPLIACIÓN POTRERILLO,LA MAGDALENA CONTRERAS,Femenino,33.0,FISICA,-99.25769,19.30753
8326652.0,1.0,Enero,2019.0,02/01/2019,82560.0,ROBO DE MOTOCICLETA SIN VIOLENCIA,VICTIMA Y DENUNCIANTE,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,SAN BERNABÉ OCOTEPEC,LA MAGDALENA CONTRERAS,Masculino,21.0,FISICA,-99.25759,19.31456
8326971.0,1.0,Enero,2019.0,03/01/2019,43200.0,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,OFENDIDO,DELITO DE BAJO IMPACTO,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,Masculino,53.0,FISICA,-99.25433,19.30452
8327002.0,1.0,Enero,2019.0,04/01/2019,66600.0,AMENAZAS,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LAS CRUCES,LA MAGDALENA CONTRERAS,Femenino,31.0,FISICA,-99.25751,19.31788
8327235.0,12.0,Diciembre,2018.0,30/12/2018,7200.0,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN NICOLÁS TOTOLAPAN,LA MAGDALENA CONTRERAS,Masculino,28.0,FISICA,-99.23987,19.29804
