idCarpeta,Dia,Mes,Año,Fecha,Hora,Delito,CalidadJuridica,Categoria,Colonia,Alcalia,Sexo,Edad,TipoPersona,longitud,latitud
8325024.0,1.0,Enero,2019.0,04/01/2019,70200.0,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,OFENDIDO,DELITO DE BAJO IMPACTO,SAN MIGUEL (SAN PABLO OZTOTEPEC),MILPA ALTA,Masculino,50.0,FISICA,-99.0742,19.18753
8325616.0,1.0,Enero,2019.0,06/01/2019,1200.0,ROBO A CASA HABITACION SIN VIOLENCIA,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LA CONCEPCIÓN (VILLA MILPA ALTA),MILPA ALTA,Femenino,21.0,FISICA,-99.02108,19.19188
8326143.0,1.0,Enero,2019.0,07/01/2019,27000.0,ROBO A NEGOCIO SIN VIOLENCIA,OFENDIDO,DELITO DE BAJO IMPACTO,TECAXTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,,,MORAL,-98.99442,19.22179
8326718.0,12.0,Diciembre,2018.0,06/12/2018,34200.0,"ALLANAMIENTO DE MORADA, DESPACHO, OFICINA O ESTABLECIMIENTO MERCANTIL",OFENDIDO Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MIGUEL (SAN PABLO OZTOTEPEC),MILPA ALTA,Femenino,,FISICA,-99.07503,19.18616
8326743.0,8.0,Agosto,2018.0,31/08/2018,32400.0,AMENAZAS,OFENDIDO Y DENUNCIANTE,DELITO DE BAJO IMPACTO,CRUZTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Masculino,,FISICA,-98.99392,19.21691
8327037.0,1.0,Enero,2019.0,08/01/2019,10800.0,ROBO A NEGOCIO SIN VIOLENCIA,OFENDIDO,DELITO DE BAJO IMPACTO,SAN JUAN (SAN PABLO OZTOTEPEC),MILPA ALTA,,,MORAL,-99.068,19.1863
8327061.0,1.0,Enero,2019.0,08/01/2019,10800.0,ROBO DE VEHICULO DE SERVICIO PÚBLICO CON VIOLENCIA,VICTIMA Y DENUNCIANTE,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,SAN AGUSTIN (VILLA MILPA ALTA),MILPA ALTA,Femenino,59.0,FISICA,-99.01521,19.18415
8327862.0,1.0,Enero,2019.0,09/01/2019,33420.0,PERDIDA DE LA VIDA POR OTRAS CAUSAS,CADAVER,HECHO NO DELICTIVO,SAN SALVADOR CUAUHTENCO SECCION III,MILPA ALTA,Masculino,,FISICA,-99.09082,19.19042
8328412.0,1.0,Enero,2019.0,06/01/2019,81000.0,LESIONES INTENCIONALES POR GOLPES,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN BARTOLOMÉ XICOMULCO,MILPA ALTA,Femenino,40.0,FISICA,-99.06365,19.20333
8328790.0,1.0,Enero,2019.0,09/01/2019,73800.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SANTA CRUZ (VILLA MILPA ALTA),MILPA ALTA,Masculino,39.0,FISICA,-99.01244,19.20241
8330097.0,1.0,Enero,2019.0,09/01/2019,82800.0,DESPOJO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LA CONCEPCIÓN (VILLA MILPA ALTA),MILPA ALTA,Femenino,62.0,FISICA,-99.02104,19.19253
8331093.0,1.0,Enero,2019.0,13/01/2019,12600.0,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A BIENES INMUEBLES,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN AGUSTIN (VILLA MILPA ALTA),MILPA ALTA,Masculino,38.0,FISICA,-99.0191,19.1896
8445596.0,6.0,Junio,2019.0,06/06/2019,55800.0,PRIVACION DE LA LIBERTAD PERSONAL,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SANTA CRUZ (VILLA MILPA ALTA),MILPA ALTA,Femenino,29.0,FISICA,-99.02206,19.1929
8446108.0,5.0,Mayo,2019.0,29/05/2019,43200.0,AMENAZAS,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN BARTOLOMÉ XICOMULCO,MILPA ALTA,Masculino,,FISICA,-99.06652,19.20805
8446140.0,6.0,Junio,2019.0,06/06/2019,61200.0,DESPOJO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,TULA (SAN PEDRO ATOCPAN),MILPA ALTA,Masculino,47.0,FISICA,-99.04965,19.20736
8446411.0,6.0,Junio,2019.0,07/06/2019,48600.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,TENANTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Femenino,33.0,FISICA,-98.99583,19.22028
8446527.0,6.0,Junio,2019.0,07/06/2019,64800.0,LESIONES INTENCIONALES POR GOLPES,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN SALVADOR CUAUHTENCO SECCION III,MILPA ALTA,Femenino,35.0,FISICA,-99.0958,19.19455
8446862.0,6.0,Junio,2019.0,08/06/2019,45660.0,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),CADAVER,DELITO DE BAJO IMPACTO,TECAXTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Masculino,,MORAL,-98.99378,19.22175
8447569.0,6.0,Junio,2019.0,05/06/2019,81000.0,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,VICTIMA Y DENUNCIANTE,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,TENANTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Masculino,20.0,FISICA,-98.99465,19.21916
8447623.0,6.0,Junio,2019.0,09/06/2019,32400.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,TENANTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Femenino,19.0,FISICA,-98.99384,19.21928
8448419.0,6.0,Junio,2019.0,08/06/2019,85560.0,AMENAZAS,OFENDIDO Y DENUNCIANTE,DELITO DE BAJO IMPACTO,CRUZTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Masculino,44.0,FISICA,-98.99991,19.21599
8448641.0,5.0,Mayo,2019.0,24/05/2019,13320.0,NEGACION DEL SERVICIO PUBLICO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,VILLA MILPA ALTA CENTRO,MILPA ALTA,Masculino,,FISICA,-99.02376,19.19199
8448667.0,5.0,Mayo,2019.0,10/05/2019,81000.0,DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,PANCHIMALCO (SAN PEDRO ATOCPAN),MILPA ALTA,Masculino,27.0,FISICA,-99.04874,19.1967
8448707.0,6.0,Junio,2019.0,11/06/2019,22260.0,PERDIDA DE LA VIDA POR SUICIDIO,CADAVER,HECHO NO DELICTIVO,SAN LORENZO TLACOYUCAN,MILPA ALTA,Masculino,32.0,FISICA,-99.03267,19.18139
8449495.0,6.0,Junio,2019.0,12/06/2019,3600.0,HOMICIDIO POR ARMA DE FUEGO,CADAVER,HOMICIDIO DOLOSO,SAN MIGUEL (SAN PABLO OZTOTEPEC),MILPA ALTA,Masculino,36.0,FISICA,-99.0709,19.1871
8449803.0,8.0,Agosto,2018.0,27/08/2018,43200.0,FRAUDE,OFENDIDO,DELITO DE BAJO IMPACTO,LA LUZ (VILLA MILPA ALTA),MILPA ALTA,Masculino,,FISICA,-99.02667,19.1874
8450635.0,6.0,Junio,2019.0,12/06/2019,36120.0,ROBO A NEGOCIO SIN VIOLENCIA,AGRAVIADO,DELITO DE BAJO IMPACTO,SANTA MARTHA (VILLA MILPA ALTA),MILPA ALTA,,,MORAL,-99.02757,19.19888
8416532.0,4.0,Abril,2019.0,04/04/2019,43200.0,DESPOJO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SANTA MARTHA (VILLA MILPA ALTA),MILPA ALTA,Masculino,,FISICA,-99.02626,19.19673
8416730.0,5.0,Mayo,2019.0,01/05/2019,9600.0,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,AGRAVIADO,DELITO DE BAJO IMPACTO,SAN MATEO (VILLA MILPA ALTA),MILPA ALTA,,0.0,FISICA,-99.02795,19.19153
8416730.0,5.0,Mayo,2019.0,01/05/2019,9600.0,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,VICTIMA,DELITO DE BAJO IMPACTO,SAN MATEO (VILLA MILPA ALTA),MILPA ALTA,,,MORAL,-99.02795,19.19153
8418054.0,4.0,Abril,2019.0,30/04/2019,30600.0,LESIONES INTENCIONALES POR GOLPES,VICTIMA,DELITO DE BAJO IMPACTO,SANTA CRUZ (VILLA MILPA ALTA),MILPA ALTA,Masculino,2.0,FISICA,-99.01956,19.19642
8418584.0,5.0,Mayo,2019.0,02/05/2019,81000.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,TECAXTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Femenino,21.0,FISICA,-98.99502,19.22183
8420837.0,5.0,Mayo,2019.0,02/05/2019,57600.0,"ALLANAMIENTO DE MORADA, DESPACHO, OFICINA O ESTABLECIMIENTO MERCANTIL",OFENDIDO Y DENUNCIANTE,DELITO DE BAJO IMPACTO,CRUZTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Femenino,54.0,FISICA,-98.99456,19.2171
8421700.0,5.0,Mayo,2019.0,03/05/2019,79200.0,PRIVACION DE LA LIBERTAD PERSONAL,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,,MILPA ALTA,Femenino,23.0,FISICA,,
8436628.0,5.0,Mayo,2019.0,26/05/2019,54000.0,DESPOJO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SANTA MARTHA (VILLA MILPA ALTA),MILPA ALTA,Femenino,60.0,FISICA,-99.02671,19.1942
8437265.0,5.0,Mayo,2019.0,25/05/2019,78600.0,VIOLENCIA FAMILIAR,VICTIMA,DELITO DE BAJO IMPACTO,TECAXTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Masculino,1.0,FISICA,-98.99502,19.22183
8438379.0,5.0,Mayo,2019.0,28/05/2019,70500.0,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,LESIONADO,DELITO DE BAJO IMPACTO,SAN MARCOS (SANTA ANA TLACOTENCO),MILPA ALTA,Femenino,26.0,FISICA,-98.99829,19.17331
8439091.0,5.0,Mayo,2019.0,29/05/2019,33300.0,LESIONES INTENCIONALES POR GOLPES,LESIONADO,DELITO DE BAJO IMPACTO,SAN MIGUEL (SAN PABLO OZTOTEPEC),MILPA ALTA,Masculino,28.0,FISICA,-99.07646,19.18585
8439397.0,5.0,Mayo,2019.0,20/05/2019,45000.0,ABUSO SEXUAL,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LA CONCEPCIÓN (VILLA MILPA ALTA),MILPA ALTA,Femenino,32.0,FISICA,-99.01973,19.19119
8439607.0,5.0,Mayo,2019.0,17/05/2019,56700.0,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,VICTIMA Y DENUNCIANTE,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,SAN FRANCISCO TECOXPA,MILPA ALTA,Femenino,25.0,FISICA,-99.00464,19.20315
8439777.0,2.0,Febrero,2019.0,16/02/2019,79200.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SANTA CRUZ (VILLA MILPA ALTA),MILPA ALTA,Femenino,18.0,FISICA,-99.01938,19.20107
